prefix	sample_class	code_field	blank	sample_type	full_path	original_filename	investigation	investigation_id	study	assay	fileid
A01_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS	BLANK.D.CULT.D.APOL.D.AMP.1.D.C30.A01.D.DIMS.NEGATIVE	BLANK_D-CULT_D-APOL_D-AMP_1_D-C30_A01_D-DIMS_NEGATIVE	yes	BLANK	data/files/2022_04_25_163220/A01_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS.mzML	A01_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS.mzML	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_NEG	22
A01_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS_rerun2	DAPH.D.CULT.D.APOL.D.AMP.1.D.C30.A01.D.DIMS.NEGATIVE	DAPH_D-CULT_D-APOL_D-AMP_1_D-C30_A01_D-DIMS_NEGATIVE	no	ANIMAL	data/files/2022_04_25_163220/A01_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS_rerun2.raw	A01_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS_rerun2.raw	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_NEG	23
A01_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS_rerun2	DAPH.D.CULT.D.APOL.D.AMP.1.D.C30.A01.D.DIMS.NEGATIVE	DAPH_D-CULT_D-APOL_D-AMP_1_D-C30_A01_D-DIMS_NEGATIVE	no	ANIMAL	data/files/2022_04_25_163220/A01_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS_rerun2.mzML	A01_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS_rerun2.mzML	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_NEG	24
A02_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS	BLANK.D.CULT.D.APOL.D.AMP.1.D.C30.A02.D.DIMS.NEGATIVE	BLANK_D-CULT_D-APOL_D-AMP_1_D-C30_A02_D-DIMS_NEGATIVE	yes	BLANK	data/files/2022_04_25_163220/A02_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS.raw	A02_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS.raw	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_NEG	25
A02_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS	BLANK.D.CULT.D.APOL.D.AMP.1.D.C30.A02.D.DIMS.NEGATIVE	BLANK_D-CULT_D-APOL_D-AMP_1_D-C30_A02_D-DIMS_NEGATIVE	yes	BLANK	data/files/2022_04_25_163220/A02_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS.mzML	A02_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS.mzML	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_NEG	26
A02_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS	DAPH.D.CULT.D.APOL.D.AMP.1.D.C30.A02.D.DIMS.NEGATIVE	DAPH_D-CULT_D-APOL_D-AMP_1_D-C30_A02_D-DIMS_NEGATIVE	no	ANIMAL	data/files/2022_04_25_163220/A02_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS.raw	A02_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS.raw	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_NEG	27
A02_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS	DAPH.D.CULT.D.APOL.D.AMP.1.D.C30.A02.D.DIMS.NEGATIVE	DAPH_D-CULT_D-APOL_D-AMP_1_D-C30_A02_D-DIMS_NEGATIVE	no	ANIMAL	data/files/2022_04_25_163220/A02_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS.mzML	A02_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS.mzML	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_NEG	28
A03_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS	BLANK.D.CULT.D.APOL.D.AMP.1.D.C30.A03.D.DIMS.NEGATIVE	BLANK_D-CULT_D-APOL_D-AMP_1_D-C30_A03_D-DIMS_NEGATIVE	yes	BLANK	data/files/2022_04_25_163220/A03_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS.raw	A03_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS.raw	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_NEG	29
A03_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS	BLANK.D.CULT.D.APOL.D.AMP.1.D.C30.A03.D.DIMS.NEGATIVE	BLANK_D-CULT_D-APOL_D-AMP_1_D-C30_A03_D-DIMS_NEGATIVE	yes	BLANK	data/files/2022_04_25_163220/A03_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS.mzML	A03_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS.mzML	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_NEG	30
A03_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS_rerun3_181011102738	DAPH.D.CULT.D.APOL.D.AMP.1.D.C30.A03.D.DIMS.NEGATIVE	DAPH_D-CULT_D-APOL_D-AMP_1_D-C30_A03_D-DIMS_NEGATIVE	no	ANIMAL	data/files/2022_04_25_163220/A03_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS_rerun3_181011102738.raw	A03_Apolar_Daph_AMP_1_C30_LCMS_Neg_DIMS_rerun3_181011102738.raw	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_NEG	31
