"","inchikey","COMPOUND_ID","ID","SPECIES_TEXT","SPECIES_ACCESSION","COMPONENT_TEXT","COMPONENT_ACCESSION","STRAIN_TEXT","STRAIN_ACCESSION","SOURCE_TYPE","SOURCE_ACCESSION","COMMENTS","V12","STATUS","CHEBI_ACCESSION","SOURCE","PARENT_ID","NAME","DEFINITION","MODIFIED_ON","CREATED_BY","STAR","kingdom","superclass","class","subclass","direct_parent","molecular_framework","predicted_lipimaps_terms"
"4702","HGXBRUKMWQGOIE-WZBLMQSHSA-N",132821,21638,"Avicennia marina","NCBI:txid82927","null","null","null","null","PubMed Id","19377635","null","","C","CHEBI:132821","SUBMITTER","null","epipinoresinol","An enantiomer of pinoresinol having (+)-(1R,3aR,4S,6aR)-configuration.","2017-01-23","liuqingping",3,"","","","","","",""
"4703","HGXBRUKMWQGOIE-WZBLMQSHSA-N",132821,21646,"Arnica lonchophylla","NCBI:txid436206","flower","BTO:0000469","null","null","PubMed Id","16644542","null","","C","CHEBI:132821","SUBMITTER","null","epipinoresinol","An enantiomer of pinoresinol having (+)-(1R,3aR,4S,6aR)-configuration.","2017-01-23","liuqingping",3,"","","","","","",""
"4704","HGXBRUKMWQGOIE-WZBLMQSHSA-N",132821,21641,"Galium verum","NCBI:txid462873","null","null","null","null","PubMed Id","20209910","null","","C","CHEBI:132821","SUBMITTER","null","epipinoresinol","An enantiomer of pinoresinol having (+)-(1R,3aR,4S,6aR)-configuration.","2017-01-23","liuqingping",3,"","","","","","",""
"4705","HGXBRUKMWQGOIE-WZBLMQSHSA-N",132821,21635,"Fraxinus sieboldiana","NCBI:txid490850","null","null","null","null","PubMed Id","26697686","null","","C","CHEBI:132821","SUBMITTER","null","epipinoresinol","An enantiomer of pinoresinol having (+)-(1R,3aR,4S,6aR)-configuration.","2017-01-23","liuqingping",3,"","","","","","",""
"4706","HGXBRUKMWQGOIE-WZBLMQSHSA-N",132821,21644,"Centipeda minima","NCBI:txid397370","null","null","null","null","PubMed Id","23189738","null","","C","CHEBI:132821","SUBMITTER","null","epipinoresinol","An enantiomer of pinoresinol having (+)-(1R,3aR,4S,6aR)-configuration.","2017-01-23","liuqingping",3,"","","","","","",""
"4707","HGXBRUKMWQGOIE-WZBLMQSHSA-N",132821,21640,"Arnica chamissonis","NCBI:txid436195","rhizome","BTO:0001181","null","null","PubMed Id","16644542","null","","C","CHEBI:132821","SUBMITTER","null","epipinoresinol","An enantiomer of pinoresinol having (+)-(1R,3aR,4S,6aR)-configuration.","2017-01-23","liuqingping",3,"","","","","","",""
"4708","HGXBRUKMWQGOIE-WZBLMQSHSA-N",132821,21645,"Hypericum petiolulatum","NCBI:txid1137009","stem","BTO:0001300","null","null","PubMed Id","26323143","null","","C","CHEBI:132821","SUBMITTER","null","epipinoresinol","An enantiomer of pinoresinol having (+)-(1R,3aR,4S,6aR)-configuration.","2017-01-23","liuqingping",3,"","","","","","",""
"4709","HGXBRUKMWQGOIE-WZBLMQSHSA-N",132821,21634,"Geranium nepalense","NCBI:txid54667","null","null","null","null","PubMed Id","23006989","null","","C","CHEBI:132821","SUBMITTER","null","epipinoresinol","An enantiomer of pinoresinol having (+)-(1R,3aR,4S,6aR)-configuration.","2017-01-23","liuqingping",3,"","","","","","",""
"4710","HGXBRUKMWQGOIE-WZBLMQSHSA-N",132821,21636,"Arnica chamissonis","NCBI:txid436195","root","BTO:0001188","null","null","PubMed Id","16644542","null","","C","CHEBI:132821","SUBMITTER","null","epipinoresinol","An enantiomer of pinoresinol having (+)-(1R,3aR,4S,6aR)-configuration.","2017-01-23","liuqingping",3,"","","","","","",""
"4711","HGXBRUKMWQGOIE-WZBLMQSHSA-N",132821,21637,"Forsythia suspensa","NCBI:txid126418","null","null","null","null","PubMed Id","17156960","null","","C","CHEBI:132821","SUBMITTER","null","epipinoresinol","An enantiomer of pinoresinol having (+)-(1R,3aR,4S,6aR)-configuration.","2017-01-23","liuqingping",3,"","","","","","",""
"4712","HGXBRUKMWQGOIE-WZBLMQSHSA-N",132821,21642,"Stellera chamaejasme","NCBI:txid142738","callus","BTO:0001010","null","null","PubMed Id","22368856","null","","C","CHEBI:132821","SUBMITTER","null","epipinoresinol","An enantiomer of pinoresinol having (+)-(1R,3aR,4S,6aR)-configuration.","2017-01-23","liuqingping",3,"","","","","","",""
"4713","HGZIMBMJGQIUGE-VUKZTOICSA-N",89201,13059,"Homo sapiens","NCBI:txid9606","blood","UBERON:0000178","null","null","PubMed Id","20671299","null","","E","CHEBI:89201","HMDB","null","DG(18:2(9Z,12Z)/20:3(5Z,8Z,11Z)/0:0)","null","null","LOADER",2,"Organic compounds","Lipids and lipid-like molecules","Glycerolipids","Diradylglycerols","1,2-diacylglycerols","Aliphatic acyclic compounds","Fatty esters (FA07), Dicarboxylic acids (FA0117), Diacylglycerols (GL0201), Fatty Acyls (FA), Glycerolipids (GL), Diradylglycerols (GL02)"
"4714","HHAOAZMDQIXGKF-MYQROCLPSA-M",137699,22796,"Methanobacterium  thermoautotrophicum","NCBI:txid145262","null","null","null","null","PubMed Id","3691535","null","","C","CHEBI:137699","ChEBI","null","15,17(3)-seco-F430-17(3)-acid","A metalloporphyrin having nickel as the central metal atom; an intermediate in the biosynthesis of coenzyme F430 in methanogenic bacteria.","2017-07-07","stevet",3,"","","","","","",""
"4715","HHAOAZMDQIXGKF-MYQROCLPSA-M",137699,22799,"Methanobrevibacter arboriphilus","NCBI:txid39441","null","null","null","null","PubMed Id","3691535","null","","C","CHEBI:137699","ChEBI","null","15,17(3)-seco-F430-17(3)-acid","A metalloporphyrin having nickel as the central metal atom; an intermediate in the biosynthesis of coenzyme F430 in methanogenic bacteria.","2017-07-07","stevet",3,"","","","","","",""
"4716","HHAOAZMDQIXGKF-MYQROCLPSA-M",137699,22797,"Methanospirillum  hungatei","NCBI:txid2203","null","null","null","null","PubMed Id","3691535","null","","C","CHEBI:137699","ChEBI","null","15,17(3)-seco-F430-17(3)-acid","A metalloporphyrin having nickel as the central metal atom; an intermediate in the biosynthesis of coenzyme F430 in methanogenic bacteria.","2017-07-07","stevet",3,"","","","","","",""
"4717","HHAOAZMDQIXGKF-MYQROCLPSA-M",137699,22798,"Methanosarcina acetivorans","NCBI:txid188937","null","null","C2A","null","PubMed Id","27846569","null","","C","CHEBI:137699","ChEBI","null","15,17(3)-seco-F430-17(3)-acid","A metalloporphyrin having nickel as the central metal atom; an intermediate in the biosynthesis of coenzyme F430 in methanogenic bacteria.","2017-07-07","stevet",3,"","","","","","",""
"4718","HHAUPBIWIXBMEU-MMVRYLQTSA-N",134073,22351,"Mus musculus","NCBI:txid10090","null","null","null","null","MetaboLights","MTBLS313","null","","C","CHEBI:134073","ChEBI","null","N-[(11Z)-octadecenoyl]sphinganine-1-phosphocholine","An N-octadecenoylsphinganine-1-phosphocholine obtained by formal condensation of the carboxy group of (11Z)-octadecenoic acid with the amino group of sphinganine-1-phosphocholine.","2017-05-17","keeva",3,"Organic compounds","Lipids and lipid-like molecules","Sphingolipids","Phosphosphingolipids","Phosphosphingolipids","Aliphatic acyclic compounds","N-acyl amines (FA0802), Phosphosphingolipids (SP03), Fatty Acyls (FA), Fatty amides (FA08), Sphingolipids (SP)"
"4719","HHAUPBIWIXBMEU-MMVRYLQTSA-N",134073,22350,"Rattus norvegicus","NCBI:txid10116","null","null","null","null","MetaboLights","MTBLS313","null","","C","CHEBI:134073","ChEBI","null","N-[(11Z)-octadecenoyl]sphinganine-1-phosphocholine","An N-octadecenoylsphinganine-1-phosphocholine obtained by formal condensation of the carboxy group of (11Z)-octadecenoic acid with the amino group of sphinganine-1-phosphocholine.","2017-05-17","keeva",3,"Organic compounds","Lipids and lipid-like molecules","Sphingolipids","Phosphosphingolipids","Phosphosphingolipids","Aliphatic acyclic compounds","N-acyl amines (FA0802), Phosphosphingolipids (SP03), Fatty Acyls (FA), Fatty amides (FA08), Sphingolipids (SP)"
"4720","HHBSFXFIMWLBAI-QEEYNDHBSA-N",69376,4606,"Cephalodiscus gilchristi","WORMS:266749","null","null","null","null","PubMed Id","21899266","null","","E","CHEBI:69376","MolConn","null","Cephalostatin 1","null","2014-09-22","LOADER",2,"Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Oxosteroids","Oxosteroids","Aromatic heteropolycyclic compounds","Sterol Lipids (ST)"
"4721","HHDDCCUIIUWNGJ-UHFFFAOYSA-M",17180,7447,"Homo sapiens","NCBI:txid9606","null","null","null","null","DOI","10.1038/nbt.2488","null","","C","CHEBI:17180","ChEBI","null","3-hydroxypyruvate","A hydroxy monocarboxylic acid anion that results from the deprotonation of the carboxylic acid group of 3-hydroxypyruvic acid.","2014-07-14","CHEBI",3,"Organic compounds","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Aliphatic acyclic compounds",""
"4722","HHHCTRTWEMFDIL-HZJYTTRNSA-M",83018,7995,"Daphnia pulex","NCBI:txid6669","null","null","null","null","Article","Aliphatic sulfates released from Daphnia induce morphological defense of phytoplankton: isolation and synthesis of kairomonesKo Yasumoto, Akinori Nishigami, Mina Yasumoto, Fumie Kasai, Yasuhiro Okada, Takenori Kusumi and Takashi OoiaTetrahedron Letters 46 (2005) 4765-4767","null","","C","CHEBI:83018","ChEBI","null","(3Z,6Z)-dodeca-3,6-dien-1-yl sulfate","An organosulfate oxoanion that is the conjugate base of (3Z,6Z)-dodeca-3,6-dien-1-yl hydrogen sulfate. Isolated from Daphnia pulex, it induces morphological changes of phytoplankton Scenedesmus gutwinskii.","2014-09-23","LOADER",3,"Organic compounds","Organic acids and derivatives","Organic sulfuric acids and derivatives","Sulfuric acid esters","Sulfuric acid monoesters","Aliphatic acyclic compounds",""
"4723","HHJTWTPUPVQKNA-PIIMIWFASA-O",57934,7064,"Homo sapiens","NCBI:txid9606","null","null","null","null","DOI","10.1038/nbt.2488","null","","C","CHEBI:57934","Rhea","null","psychosine(1+)","The ammonium ion resulting from the protonation of the amino group of psychosine.","2019-02-15","LOADER",3,"Organic compounds","Lipids and lipid-like molecules","Sphingolipids","Glycosphingolipids","Glycosphingolipids","Aliphatic heteromonocyclic compounds","Fatty acyl glycosides of mono- and disaccharides (FA1301), Fatty acyl glycosides (FA13), Sphingolipids (SP), Fatty Acyls (FA)"
"4724","HHKPKXCSHMJWCF-WVBDSBKLSA-K",57429,16898,"Saccharomyces cerevisiae","NCBI:txid4932","null","null","null","null","PubMed Id","24678285","Source: yeast.sf.net","","C","CHEBI:57429","Rhea","null","(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate","A tricarboxylic acid trianion resulting from the deprotonation of all three carboxy groups of (2S,3R)-3-hydroxybutane-1,2,3-tricarboxylic acid.","2018-11-08","LOADER",3,"Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives","Aliphatic acyclic compounds",""
"4725","HHKPKXCSHMJWCF-WVBDSBKLSA-K",57429,6449,"Homo sapiens","NCBI:txid9606","null","null","null","null","DOI","10.1038/nbt.2488","null","","C","CHEBI:57429","Rhea","null","(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate","A tricarboxylic acid trianion resulting from the deprotonation of all three carboxy groups of (2S,3R)-3-hydroxybutane-1,2,3-tricarboxylic acid.","2018-11-08","LOADER",3,"Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives","Aliphatic acyclic compounds",""
"4726","HHKPKXCSHMJWCF-WVBDSBKLSA-N",15607,17340,"Escherichia coli","NCBI:txid562","null","null","null","null","PubMed Id","21988831","null","","C","CHEBI:15607","ChEBI","null","(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylic acid","A 3-hydroxybutane-1,2,3-tricarboxylic acid which has (2S,3R) configuration.","2018-11-09","ops$mennis",3,"Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives","Aliphatic acyclic compounds",""
"4727","HHKUTKBQEPDLMV-CIVZFWGOSA-N",65816,718,"Dysidea","NCBI:txid190526","null","null","null","null","PubMed Id","11374954","null","","C","CHEBI:65816","MolConn","null","dysidine","A sesquiterpenoid isolated from the sponge Dysidea sp. that is 5-amino-2-hydroxy-3-methyl-1,4-benzoquinone in which one of the hydrogens of the methyl group is replaced by a 1,2,4a,5-tetramethyl-1,2,3,4,4a,7,8,8a-octahydronaphthalen-2-yl group and one of the hydrogens attached to the nitrogen is replaced by a 2-sulfoethyl group. Dysidine selectively inhibits human synovial phospholipase A2 (EC 3.1.1.4) with an IC50 = 2.0 muM.","2017-09-07","LOADER",3,"Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Quinone and hydroquinone lipids","Prenylquinones","Aliphatic homopolycyclic compounds","Quinones and hydroquinones (PR02), Prenol Lipids (PR)"
"4728","HHLFWLYXYJOTON-UHFFFAOYSA-M",36655,16451,"Saccharomyces cerevisiae","NCBI:txid4932","null","null","null","null","PubMed Id","24678285","Source: yeast.sf.net","","C","CHEBI:36655","ChEBI","null","glyoxylate","The conjugate base of glyoxylic acid.","2016-02-17","ops$kirill",3,"","","","","","",""
"4729","HHLFWLYXYJOTON-UHFFFAOYSA-M",36655,6843,"Homo sapiens","NCBI:txid9606","null","null","null","null","DOI","10.1038/nbt.2488","null","","C","CHEBI:36655","ChEBI","null","glyoxylate","The conjugate base of glyoxylic acid.","2016-02-17","ops$kirill",3,"","","","","","",""
"4730","HHLFWLYXYJOTON-UHFFFAOYSA-N",16891,18105,"Mus musculus","NCBI:txid10090","null","null","null","null","PubMed Id","19425150","Source: BioModels - MODEL1507180067","","C","CHEBI:16891","ChEBI","null","glyoxylic acid","A 2-oxo monocarboxylic acid that is acetic acid bearing an oxo group at the alpha carbon atom.","2016-01-27","CHEBI",3,"Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Carboxylic acids","Carboxylic acids","Aliphatic acyclic compounds",""
"4731","HHLFWLYXYJOTON-UHFFFAOYSA-N",16891,17381,"Escherichia coli","NCBI:txid562","null","null","null","null","PubMed Id","21988831","null","","C","CHEBI:16891","ChEBI","null","glyoxylic acid","A 2-oxo monocarboxylic acid that is acetic acid bearing an oxo group at the alpha carbon atom.","2016-01-27","CHEBI",3,"Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Carboxylic acids","Carboxylic acids","Aliphatic acyclic compounds",""
"4732","HHOGWFNRRRCYSF-RUZDIDTESA-N",131687,21028,"Homo sapiens","NCBI:txid9606","null","null","null","null","PubMed Id","24996486","null","","C","CHEBI:131687","ChEBI","null","1-pentadecyl-2-acetyl-sn-glycero-3-phosphocholine","A 2-acyl-1-alkyl-sn-glycero-3-phosphocholine in which the alkyl and the acyl groups at positions 1 and 2 are specified as pentadecyl and acetyl respectively.","2016-11-16","mwilliams",3,"Organic compounds","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","1-alkyl,2-acetylglycero-3-phosphocholines","Aliphatic acyclic compounds","Glycerophosphocholines (GP01), Glycerolipids (GL)"
"4733","HHOGWFNRRRCYSF-RUZDIDTESA-N",131687,21027,"Mus musculus","NCBI:txid10090","null","null","null","null","MetaboLights","MTBLS334","null","","C","CHEBI:131687","ChEBI","null","1-pentadecyl-2-acetyl-sn-glycero-3-phosphocholine","A 2-acyl-1-alkyl-sn-glycero-3-phosphocholine in which the alkyl and the acyl groups at positions 1 and 2 are specified as pentadecyl and acetyl respectively.","2016-11-16","mwilliams",3,"Organic compounds","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","1-alkyl,2-acetylglycero-3-phosphocholines","Aliphatic acyclic compounds","Glycerophosphocholines (GP01), Glycerolipids (GL)"
"4734","HHORBZPRWXKSQO-LKWZKNPLSA-N",69606,4972,"Lysimachia clethroides","NCBI:txid167892","aerial part","BTO:0001658","null","null","PubMed Id","21928797","Air-dried, powdered aerial parts were extracted with 70% aqueous ethyl alcohol.","","C","CHEBI:69606","MolConn","null","clethroidoside F","A triterpenoid saponin that is 3,16-dihydroxy-13,28-epoxyoleanane-21,22-diyl diacetate attached to a tetrasaccharide residue at position 3 via a glycosidic linkage. Isolated from the aerial parts of Lysimachia clethroides, it exhibits antineoplastic activity.","2014-01-20","LOADER",3,"Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids","Aliphatic heteropolycyclic compounds","Dicarboxylic acids (FA0117), C30 isoprenoids (triterpenes) (PR0106), Prenol Lipids (PR)"
"4735","HHPBGHOULCFTMR-HNNXBMFYSA-N",69985,5481,"Mammea americana","NCBI:txid198777","stem","BTO:0001300","null","null","PubMed Id","21214226","Previous component: stem bark; Dichloromethane/Methanol (1:1) extract of dried stem bark","","E","CHEBI:69985","MolConn","null","Mammea C/BB, (-)-","null","2014-09-22","LOADER",2,"Organic compounds","Phenylpropanoids and polyketides","Coumarins and derivatives","Hydroxycoumarins","7-hydroxycoumarins","Aromatic heteropolycyclic compounds","Benzopyranoids (PK1311)"
"4736","HHQAAUSMOBNXFL-UHFFFAOYSA-N",70028,5531,"Crotalaria lachnophora","IPNI:488342-1","whole plant","BTO:0001461","null","null","PubMed Id","21265557","Chloroform soluble fraction of CH2Cl2/MeOH (1:1) crude extract of dried and powdered whole plant","","E","CHEBI:70028","MolConn","null","Lachnoisoflavones A, (rac)-","null","2014-09-22","LOADER",2,"","","","","","",""
"4737","HHQFKPJXVYWLLJ-ABYSKWQHSA-N",90485,20158,"Mus musculus","NCBI:txid10090","null","null","null","null","MetaboLights","MTBLS143","null","","C","CHEBI:90485","ChEBI","null","1-(1Z-octadecenyl)-2-(4Z,7Z,10Z,13Z,16Z-docosapentaenoyl)-sn-glycero-3-phosphoethanolamine","A 1-(alk-1-enyl)-2-acyl-sn-glycero-3-phosphoethanolamine in which the alkyl and the acyl groups at positions 1 and 2 are specified as (1Z)-octadecenyl and (4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl respectively.","2016-07-01","mwilliams",3,"","","","","","",""
"4738","HHRXHLXZXPRKOE-WSYJSIOHSA-N",70429,6060,"Buxus papillosa","IPNI:128688-1","null","null","null","null","PubMed Id","20954721","null","","E","CHEBI:70429","MolConn","null","Cyclobuxophylline K","null","2014-09-22","LOADER",2,"Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids","Aliphatic homopolycyclic compounds","Sterol Lipids (ST), C30 isoprenoids (triterpenes) (PR0106), Prenol Lipids (PR)"
"4739","HHRXHLXZXPRKOE-WSYJSIOHSA-N",70429,6061,"Buxus natalensis","IPNI:128681-1","bark","BTO:0001301","null","null","PubMed Id","20954721","MeOH extract of pulverized bark","","E","CHEBI:70429","MolConn","null","Cyclobuxophylline K","null","2014-09-22","LOADER",2,"Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids","Aliphatic homopolycyclic compounds","Sterol Lipids (ST), C30 isoprenoids (triterpenes) (PR0106), Prenol Lipids (PR)"
"4740","HHVQPBXBALLUDF-QORHGLQKSA-N",2288,18509,"Mus musculus","NCBI:txid10090","null","null","null","null","PubMed Id","19425150","Source: BioModels - MODEL1507180067","","C","CHEBI:2288","KEGG COMPOUND","null","7alpha,12alpha-dihydroxy-5beta-cholestan-3-one","A 3-oxo-5beta-steroid that is 5beta-cholestan-3-one bearing two additional hydroxy substituents at positions 7alpha and 12alpha.","2017-04-26","CHEBI",3,"Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Cholestane steroids","Cholesterols and derivatives","Aliphatic homopolycyclic compounds","Sterol Lipids (ST), Cholesterol and derivatives (ST0101)"
"4741","HHVQPBXBALLUDF-QORHGLQKSA-N",2288,6938,"Homo sapiens","NCBI:txid9606","null","null","null","null","DOI","10.1038/nbt.2488","null","","C","CHEBI:2288","KEGG COMPOUND","null","7alpha,12alpha-dihydroxy-5beta-cholestan-3-one","A 3-oxo-5beta-steroid that is 5beta-cholestan-3-one bearing two additional hydroxy substituents at positions 7alpha and 12alpha.","2017-04-26","CHEBI",3,"Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Cholestane steroids","Cholesterols and derivatives","Aliphatic homopolycyclic compounds","Sterol Lipids (ST), Cholesterol and derivatives (ST0101)"
"4742","HHVQPBXBALLUDF-SVWKRCSNSA-N",2287,18553,"Mus musculus","NCBI:txid10090","null","null","null","null","PubMed Id","19425150","Source: BioModels - MODEL1507180067","","E","CHEBI:2287","KEGG COMPOUND","null","7alpha,12alpha-Dihydroxy-5alpha-cholestan-3-one","null","2017-04-26","CHEBI",2,"Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Cholestane steroids","Cholesterols and derivatives","Aliphatic homopolycyclic compounds","Sterol Lipids (ST), Cholesterol and derivatives (ST0101)"
"4743","HHYKAFPKWFOYAT-AWFPJDAOSA-N",84440,8835,"Mus musculus","NCBI:txid10090","null","null","null","null","MetaboLights","MTBLS143","null","","C","CHEBI:84440","ChEBI","null","1,2-di-(7Z,10Z,13Z,16Z-docosatetraenoyl)-sn-glycerol","A 1,2-diacyl-sn-glycerol in which the acyl groups at positions 1 and 2 are specified as 7Z,10Z,13Z,16Z-docosatetraenoyl.","2015-02-03","namrata",3,"Organic compounds","Lipids and lipid-like molecules","Glycerolipids","Diradylglycerols","1,2-diacylglycerols","Aliphatic acyclic compounds","Fatty esters (FA07), Dicarboxylic acids (FA0117), Diacylglycerols (GL0201), Fatty Acyls (FA), Glycerolipids (GL), Diradylglycerols (GL02)"
"4744","HIABZTFVWGTGEJ-YOGLWGDYSA-N",68900,3958,"Calystegia soldanella","NCBI:txid136204","stem","BTO:0001300","null","null","PubMed Id","21992192","Methanolic extract of leaves,stems and roots","","E","CHEBI:68900","MolConn","null","soldanelline B","null","2014-09-22","LOADER",2,"Organic compounds","Lipids and lipid-like molecules","Saccharolipids","","Saccharolipids","Aliphatic heteropolycyclic compounds","Macrolides and lactone polyketides (PK04), Fatty acyl glycosides (FA13), Fatty esters (FA07), Saccharolipids (SL), Fatty Acyls (FA)"
"4745","HIABZTFVWGTGEJ-YOGLWGDYSA-N",68900,3959,"Calystegia soldanella","NCBI:txid136204","root","BTO:0001188","null","null","PubMed Id","21992192","Methanolic extract of leaves,stems and roots","","E","CHEBI:68900","MolConn","null","soldanelline B","null","2014-09-22","LOADER",2,"Organic compounds","Lipids and lipid-like molecules","Saccharolipids","","Saccharolipids","Aliphatic heteropolycyclic compounds","Macrolides and lactone polyketides (PK04), Fatty acyl glycosides (FA13), Fatty esters (FA07), Saccharolipids (SL), Fatty Acyls (FA)"
"4746","HIABZTFVWGTGEJ-YOGLWGDYSA-N",68900,3957,"Calystegia soldanella","NCBI:txid136204","leaf","BTO:0000713","null","null","PubMed Id","21992192","Methanolic extract of leaves,stems and roots","","E","CHEBI:68900","MolConn","null","soldanelline B","null","2014-09-22","LOADER",2,"Organic compounds","Lipids and lipid-like molecules","Saccharolipids","","Saccharolipids","Aliphatic heteropolycyclic compounds","Macrolides and lactone polyketides (PK04), Fatty acyl glycosides (FA13), Fatty esters (FA07), Saccharolipids (SL), Fatty Acyls (FA)"
"4747","HIAJCGFYHIANNA-QIZZZRFXSA-N",89234,13172,"Homo sapiens","NCBI:txid9606","urine","BTO:0001419","null","null","PubMed Id","24023812","null","","E","CHEBI:89234","HMDB","null","3b-Hydroxy-5-cholenoic acid","null","null","LOADER",2,"Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Monohydroxy bile acids, alcohols and derivatives","Aliphatic homopolycyclic compounds","Sterol Lipids (ST), Bile acids and derivatives (ST04)"
"4748","HIAJCGFYHIANNA-QIZZZRFXSA-N",89234,13173,"Homo sapiens","NCBI:txid9606","saliva","UBERON:0001836","null","null","Article","Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)","null","","E","CHEBI:89234","HMDB","null","3b-Hydroxy-5-cholenoic acid","null","null","LOADER",2,"Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Monohydroxy bile acids, alcohols and derivatives","Aliphatic homopolycyclic compounds","Sterol Lipids (ST), Bile acids and derivatives (ST04)"
"4749","HIGFJBWLJMUGFT-XTNBKHNLSA-N",68397,3666,"Dendronephthya studeri","WORMS:289144","null","null","null","null","PubMed Id","21192715","Diethylether soluble extract of frozen soft coral","","C","CHEBI:68397","MolConn","null","19-norcholesta-1,3,5(10)-trien-3-ol","A  3-hydroxy steroid that is 19-norcholesta-1,3,5(10)-triene substituted by a hydroxy group at position 3. It is isolated from Hainan soft coral Dendronephthya studeri.","2013-11-27","LOADER",3,"Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Cholestane steroids","Cholesterols and derivatives","Aromatic homopolycyclic compounds","Sterol Lipids (ST), Cholesterol and derivatives (ST0101)"
"4750","HIGGFWFRAWSMBR-UHFFFAOYSA-N",88411,10323,"Homo sapiens","NCBI:txid9606","faeces","UBERON:0001988","null","null","PubMed Id","23454028","null","","E","CHEBI:88411","HMDB","null","2-Methyl-3-hexanone","null","null","LOADER",2,"","","","","","",""
"4751","HIGGFWFRAWSMBR-UHFFFAOYSA-N",88411,10324,"Homo sapiens","NCBI:txid9606","saliva","UBERON:0001836","null","null","PubMed Id","24421258","null","","E","CHEBI:88411","HMDB","null","2-Methyl-3-hexanone","null","null","LOADER",2,"","","","","","",""
"4752","HIGLJZHMTBHEQS-HWZXAUMYSA-N",67455,2487,"Kadsura ananosma","NCBI:txid133441","seed","BTO:0001226","null","null","PubMed Id","21381710","70% aqueous acetone extract of air-dried and powdered seeds, biphenyl configuration is S","","C","CHEBI:67455","MolConn","null","interiotherin C","A  lignan with a dibenzocyclooctadiene skeleton attached to a fatty acid ester and acetate side chains. It is isolated from Kadsura ananosma and has been shown to exhibit neuroprotective activity.","2013-09-16","LOADER",3,"","","","","","",""
"4753","HIGLJZHMTBHEQS-ULEIZWEFSA-N",67449,2481,"Kadsura ananosma","NCBI:txid133441","seed","BTO:0001226","null","null","PubMed Id","21381710","70% aqueous acetone extract of air-dried and powdered seeds, biphenyl configuration is S","","C","CHEBI:67449","MolConn","null","ananolignan L","A lignan with a dibenzocyclooctadiene skeleton isolated from Kadsura ananosma.","2014-01-09","LOADER",3,"","","","","","",""
"4754","HIGQPQRQIQDZMP-UHFFFAOYSA-N",88568,11085,"Homo sapiens","NCBI:txid9606","saliva","UBERON:0001836","null","null","PubMed Id","24421258","null","","E","CHEBI:88568","HMDB","null","3,7-Dimethyl-2,6-octadien-1-ylacetate","null","null","LOADER",2,"Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty alcohol esters","Fatty alcohol esters","Aliphatic acyclic compounds","Acyclic monoterpenoids (PR010201), Fatty Acyls (FA), Prenol Lipids (PR), C10 isoprenoids (monoterpenes) (PR0102)"
"4755","HIIZAGQWABAMRR-BYPYZUCNSA-L",17214,16773,"Saccharomyces cerevisiae","NCBI:txid4932","null","null","null","null","PubMed Id","24678285","Source: yeast.sf.net","","C","CHEBI:17214","ChEBI","null","(2S)-2-isopropyl-3-oxosuccinate(2-)","A dicarboxylic acid dianion obtained by removal of a proton from both carboxy groups of (2S)-2-isopropyl-3-oxosuccinic acid.","2021-09-16","CHEBI",3,"Organic compounds","Organic acids and derivatives","Keto acids and derivatives","Short-chain keto acids and derivatives","Short-chain keto acids and derivatives","Aliphatic acyclic compounds","Branched fatty acids (FA0102), Dicarboxylic acids (FA0117), Fatty Acyls (FA), Fatty Acids and Conjugates (FA01)"
